accounts, image-src
Fortnite, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/fortnite.png?w=28&h=28&q=40
Grand Theft Auto 5, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/gta-5.png?w=28&h=28&q=40
Valorant, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/valorant.png?w=28&h=28&q=40
Old School RuneScape, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/osrs.png?w=28&h=28&q=40
Clash of Clans, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/clash-of-clans.png?w=28&h=28&q=40
Rust, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/rust.png?w=28&h=28&q=40
League of Legends, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/league-of-legends.png?w=28&h=28&q=40
Overwatch 2, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/overwatch-2.png?w=28&h=28&q=40
Rainbow Six Siege, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/rainbow-six-siege.png?w=28&h=28&q=40
Apex Legends, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/apex-legends.png?w=28&h=28&q=40
Counter-Strike: Global Offensive, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/csgo.png?w=28&h=28&q=40
Call of Duty, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/call-of-duty.png?w=28&h=28&q=40
"8 Ball Pool	",
"Activision	",
"Apex Legends	",
"Apex Legends Mobile	",
"AQWorlds	",
"ARK: Survival Evolved	",
"Black Desert Online	",
"Brawl Stars	",
"Call of Duty	",
"Call of Duty Mobile	",
"Clash of Clans	",
"Clash Royale	",
"Counter-Strike: Global Offensive	",
"DayZ	",
"Dead By Daylight	",
"Destiny 2	",
"Diablo 2: Resurrected	",
"Diablo Immortal	",
"Dota 2	",
"Elden Ring	",
"Elder Scrolls Online	",
"Epic Games	",
"Escape From Tarkov	",
"EVE Echoes	",
"EVE Online	",
"Fallout 76	",
"FIFA	",
"Final Fantasy XIV	",
"Fortnite	",
"Forza Horizon 5	",
"Garena Free Fire	",
"Genshin Impact	",
"Grand Theft Auto 5	",
"League of Legends	",
"League of Legends: Wild Rift	",
"Lords Mobile	",
"Lost Ark	",
"MapleStory	",
"Minecraft	",
"Mobile Legends	",
"NBA	",
"New World	",
"Old School RuneScape	",
"Origin	",
"OSRS FSW	",
"Overwatch 2	",
"Path of Exile	",
"PlayStation	",
"Pokemon Go	",
"PUBG	",
"PUBG Mobile	",
"Raid: Shadow Legends	",
"Rainbow Six Siege	",
"Red Dead Redemption 2	",
"Rise of Kingdoms	",
"Roblox	",
"Rocket League	",
"RuneScape 3	",
"Runescape FSW	",
"Rust	",
"Sea of Thieves	",
"Steam	",
"Summoners War	",
"Tower of Fantasy	",
"Ubisoft Connect	",
"Valheim	",
"Valorant	",
"War Thunder	",
"Warframe	",
"World of Warcraft	",
"WoW WotLK	",
"Xbox	",
