boosting,iamge-src
Old School RuneScape,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/osrs.png?w=28&h=28&q=40
Valorant,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/valorant.png?w=28&h=28&q=40
Call of Duty,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/call-of-duty.png?w=28&h=28&q=40
WoW WotLK,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/world-of-warcraft-wotlk.png?w=28&h=28&q=40
World of Warcraft,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/world-of-warcraft.png?w=28&h=28&q=40
Grand Theft Auto 5,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/gta-5.png?w=28&h=28&q=40
Rocket League,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/rocket-league.png?w=28&h=28&q=40
Runescape 3,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/runescape-3.png?w=28&h=28&q=40
League of Legends,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/league-of-legends.png?w=28&h=28&q=40
Clash Royale,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/clash-royale.png?w=28&h=28&q=40
Apex Legends,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/apex-legends.png?w=28&h=28&q=40
Overwatch 2,https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/overwatch-2.png?w=28&h=28&q=40
Apex Legends,
Black Desert Online,
Call of Duty,
Clash of Clans,
Clash Royale,
Counter-Strike: Global Offensive,
Dead By Daylight,
Destiny 2,
Diablo 2: Resurrected,
Elder Scrolls Online,
Escape From Tarkov,
Final Fantasy XIV,
Fortnite,
Genshin Impact,
Grand Theft Auto 5,
Guild Wars 2,
League of Legends,
Lost Ark,
Mobile Legends,
New World,
Old School RuneScape,
OSRS FSW,
Overwatch 2,
Path of Exile,
Pokemon Go,
PUBG Mobile,
Rainbow Six Siege,
Red Dead Redemption 2,
Rocket League,
Runescape 3,
Runescape FSW,
Rust,
Valorant,
Warframe,
World of Warcraft,
WoW WotLK,
